Maintenance_ID,Truck_ID,Maintenance_Date,Maintenance_Type,Cost_USD,Downtime_Days,Parts_Replaced
M0208,T036,2023-11-23,Scheduled,2102,1,"Oil Filter, Air Filter"
M0209,T036,2023-06-29,Scheduled,1405,2,"Radiator, Water Pump"
M0210,T036,2024-09-05,Emergency,3475,3,"Oil Filter, Air Filter"
M0211,T036,2023-01-22,Emergency,6487,1,"Radiator, Water Pump"
M0212,T036,2024-07-04,Emergency,9449,10,"Brake Pads, Brake Discs"
M0213,T036,2023-09-26,Scheduled,4857,2,"Exhaust System, Catalytic Converter"
M0214,T036,2024-01-03,Scheduled,3315,2,"Battery, Alternator"
M0215,T036,2024-10-05,Scheduled,2964,2,"Battery, Alternator"
M0216,T037,2024-02-03,Emergency,14247,8,"Brake Pads, Brake Discs"
M0217,T037,2023-02-19,Scheduled,4869,2,"Oil Filter, Air Filter"
M0218,T037,2024-05-05,Scheduled,4249,2,"Spark Plugs, Fuel Injectors"
M0219,T037,2023-05-22,Scheduled,2105,0,"Battery, Alternator"
M0220,T037,2024-06-14,Scheduled,1599,0,"Radiator, Water Pump"
M0221,T037,2024-11-29,Scheduled,4140,2,"Tires, Wheel Bearings"
M0222,T037,2023-08-06,Scheduled,1439,3,"Radiator, Water Pump"
M0223,T037,2023-07-29,Emergency,11975,8,"Exhaust System, Catalytic Converter"
M0224,T037,2023-10-08,Scheduled,2823,3,"Spark Plugs, Fuel Injectors"
M0225,T037,2023-09-05,Emergency,3947,3,"Transmission Fluid, Clutch"
M0226,T037,2024-01-23,Scheduled,2295,1,"Battery, Alternator"
M0227,T037,2024-05-27,Scheduled,4795,0,"Battery, Alternator"
M0228,T040,2024-05-29,Emergency,7771,7,"Spark Plugs, Fuel Injectors"
M0229,T040,2023-01-23,Scheduled,6687,2,"Tires, Wheel Bearings"
M0230,T040,2023-04-01,Scheduled,5586,2,"Exhaust System, Catalytic Converter"
M0231,T040,2024-06-24,Scheduled,4949,0,"Spark Plugs, Fuel Injectors"
M0232,T040,2023-11-09,Scheduled,5284,2,"Battery, Alternator"
M0233,T040,2023-08-08,Emergency,9649,10,"Spark Plugs, Fuel Injectors"
M0234,T040,2023-03-24,Scheduled,6328,0,"Battery, Alternator"
M0235,T040,2024-07-30,Emergency,17533,9,"Battery, Alternator"
M0236,T040,2023-05-14,Scheduled,6228,2,"Transmission Fluid, Clutch"
M0237,T040,2024-02-16,Emergency,8812,10,"Battery, Alternator"
M0238,T040,2024-01-31,Emergency,4144,9,"Brake Pads, Brake Discs"
M0239,T040,2023-06-01,Scheduled,6485,1,"Brake Pads, Brake Discs"
M0240,T040,2024-10-21,Emergency,7847,7,"Transmission Fluid, Clutch"
M0241,T040,2023-07-19,Emergency,15161,3,"Brake Pads, Brake Discs"
M0242,T040,2024-07-13,Scheduled,4624,2,"Spark Plugs, Fuel Injectors"
M0243,T041,2024-05-18,Scheduled,4568,3,"Brake Pads, Brake Discs"
M0244,T041,2023-04-01,Scheduled,7780,2,"Oil Filter, Air Filter"
M0245,T041,2024-10-11,Scheduled,6783,0,"Battery, Alternator"
M0246,T041,2024-04-12,Emergency,18530,6,"Oil Filter, Air Filter"
M0247,T041,2023-08-20,Emergency,20934,2,"Radiator, Water Pump"
M0248,T041,2024-05-11,Scheduled,2759,0,"Battery, Alternator"
M0249,T041,2024-05-24,Scheduled,5227,0,"Tires, Wheel Bearings"
M0250,T041,2024-11-19,Emergency,18520,3,"Tires, Wheel Bearings"
M0251,T041,2024-12-12,Emergency,12919,9,"Tires, Wheel Bearings"
M0252,T041,2024-05-26,Emergency,11837,8,"Brake Pads, Brake Discs"
M0253,T041,2023-06-16,Scheduled,4932,3,"Brake Pads, Brake Discs"
M0254,T041,2024-03-14,Scheduled,6916,0,"Radiator, Water Pump"
M0255,T041,2023-08-24,Scheduled,4219,3,"Spark Plugs, Fuel Injectors"
M0256,T041,2023-12-31,Scheduled,7871,3,"Exhaust System, Catalytic Converter"
M0257,T041,2024-01-23,Scheduled,5140,2,"Battery, Alternator"
M0258,T041,2023-01-17,Scheduled,4865,1,"Oil Filter, Air Filter"
M0259,T041,2023-04-30,Emergency,15376,3,"Radiator, Water Pump"
M0260,T041,2023-03-24,Scheduled,4909,2,"Battery, Alternator"
M0261,T041,2024-10-22,Emergency,5234,3,"Radiator, Water Pump"
M0262,T041,2023-01-11,Scheduled,2731,3,"Battery, Alternator"
M0263,T041,2023-06-30,Emergency,3591,2,"Exhaust System, Catalytic Converter"
M0264,T041,2023-05-08,Emergency,19643,6,"Exhaust System, Catalytic Converter"
M0265,T041,2023-07-23,Scheduled,6565,3,"Oil Filter, Air Filter"
M0266,T043,2023-10-09,Scheduled,5290,1,"Spark Plugs, Fuel Injectors"
M0267,T043,2023-08-13,Scheduled,7552,2,"Transmission Fluid, Clutch"
M0268,T043,2023-04-11,Emergency,10864,1,"Oil Filter, Air Filter"
M0269,T043,2023-01-17,Emergency,14630,1,"Brake Pads, Brake Discs"
M0270,T043,2024-11-09,Scheduled,3576,1,"Battery, Alternator"
M0271,T043,2023-10-12,Scheduled,6692,3,"Tires, Wheel Bearings"
M0272,T043,2024-10-21,Scheduled,3860,0,"Spark Plugs, Fuel Injectors"
M0273,T043,2024-06-19,Scheduled,6935,1,"Radiator, Water Pump"
M0274,T043,2023-12-10,Scheduled,2453,3,"Battery, Alternator"
M0275,T043,2024-10-21,Emergency,12850,9,"Battery, Alternator"
M0276,T043,2024-05-14,Scheduled,7847,3,"Spark Plugs, Fuel Injectors"
M0277,T043,2023-05-05,Emergency,5286,7,"Spark Plugs, Fuel Injectors"
M0278,T043,2023-01-12,Emergency,7034,7,"Oil Filter, Air Filter"
M0279,T043,2024-02-15,Scheduled,7698,3,"Spark Plugs, Fuel Injectors"
M0280,T043,2024-07-18,Emergency,19333,1,"Brake Pads, Brake Discs"
M0281,T043,2024-12-13,Scheduled,3222,1,"Battery, Alternator"
M0282,T043,2024-03-08,Scheduled,7532,0,"Oil Filter, Air Filter"
M0283,T043,2024-06-23,Scheduled,7061,3,"Spark Plugs, Fuel Injectors"
M0284,T043,2024-03-10,Scheduled,8577,2,"Battery, Alternator"
M0285,T043,2024-02-08,Scheduled,3785,2,"Radiator, Water Pump"
M0286,T043,2023-07-22,Scheduled,5542,2,"Radiator, Water Pump"
M0287,T043,2023-04-29,Emergency,16088,6,"Battery, Alternator"
M0288,T043,2024-11-28,Emergency,20442,8,"Battery, Alternator"
M0289,T043,2024-12-21,Emergency,4783,8,"Tires, Wheel Bearings"
M0290,T043,2024-05-14,Emergency,23665,1,"Oil Filter, Air Filter"
M0291,T043,2024-11-09,Scheduled,6838,1,"Oil Filter, Air Filter"
M0292,T043,2024-05-30,Emergency,6115,7,"Exhaust System, Catalytic Converter"
M0293,T043,2023-06-17,Emergency,9064,6,"Brake Pads, Brake Discs"
M0294,T044,2023-05-26,Scheduled,2689,1,"Exhaust System, Catalytic Converter"
M0295,T044,2024-11-28,Scheduled,1160,3,"Battery, Alternator"
M0296,T044,2023-11-13,Scheduled,1458,3,"Tires, Wheel Bearings"
M0297,T044,2024-04-11,Emergency,12730,4,"Radiator, Water Pump"
M0298,T044,2023-06-11,Emergency,13915,5,"Battery, Alternator"
M0299,T044,2024-10-04,Emergency,18020,5,"Exhaust System, Catalytic Converter"
M0300,T044,2024-09-09,Scheduled,3800,1,"Spark Plugs, Fuel Injectors"
M0301,T044,2023-03-01,Emergency,4287,9,"Transmission Fluid, Clutch"
M0302,T044,2023-04-14,Scheduled,1112,0,"Tires, Wheel Bearings"
M0303,T044,2024-08-08,Scheduled,5670,0,"Radiator, Water Pump"
M0304,T044,2024-11-18,Scheduled,2212,1,"Oil Filter, Air Filter"
M0305,T044,2024-06-13,Emergency,17655,2,"Brake Pads, Brake Discs"
M0306,T044,2023-04-30,Scheduled,4062,3,"Spark Plugs, Fuel Injectors"
M0307,T044,2024-08-26,Scheduled,1930,1,"Exhaust System, Catalytic Converter"
M0308,T044,2023-10-02,Scheduled,1806,3,"Battery, Alternator"
M0309,T044,2024-02-13,Scheduled,4684,0,"Oil Filter, Air Filter"
M0310,T044,2024-11-02,Scheduled,4287,2,"Oil Filter, Air Filter"
M0311,T044,2024-05-03,Emergency,3512,2,"Radiator, Water Pump"
M0312,T044,2024-10-17,Emergency,14798,10,"Brake Pads, Brake Discs"
M0313,T045,2023-05-12,Scheduled,763,2,"Tires, Wheel Bearings"
M0314,T045,2024-12-08,Emergency,18279,1,"Radiator, Water Pump"
M0315,T045,2024-04-09,Emergency,3737,2,"Radiator, Water Pump"
M0316,T045,2024-12-11,Emergency,14118,6,"Tires, Wheel Bearings"
M0317,T045,2024-12-27,Emergency,18944,8,"Transmission Fluid, Clutch"
M0318,T045,2024-08-16,Scheduled,4551,0,"Radiator, Water Pump"
M0319,T045,2024-06-22,Emergency,10672,1,"Exhaust System, Catalytic Converter"
M0320,T045,2023-04-30,Emergency,18798,3,"Radiator, Water Pump"
M0321,T045,2023-11-13,Scheduled,4896,0,"Radiator, Water Pump"
M0322,T045,2023-04-01,Scheduled,7030,1,"Tires, Wheel Bearings"
M0323,T046,2024-07-18,Scheduled,1541,3,"Oil Filter, Air Filter"
M0324,T046,2024-08-30,Scheduled,6903,3,"Brake Pads, Brake Discs"
M0325,T046,2023-11-15,Scheduled,3745,1,"Battery, Alternator"
M0326,T046,2023-12-30,Scheduled,3463,2,"Tires, Wheel Bearings"
M0327,T046,2023-12-14,Scheduled,3515,1,"Battery, Alternator"
M0328,T046,2024-05-26,Scheduled,5395,2,"Radiator, Water Pump"
M0329,T046,2023-04-27,Scheduled,1701,3,"Tires, Wheel Bearings"
M0330,T046,2023-10-03,Scheduled,4833,2,"Battery, Alternator"
M0331,T046,2024-03-19,Emergency,13620,1,"Spark Plugs, Fuel Injectors"
M0332,T046,2023-03-04,Emergency,9103,6,"Brake Pads, Brake Discs"
M0333,T046,2023-02-12,Scheduled,5372,2,"Brake Pads, Brake Discs"
M0334,T046,2024-01-17,Scheduled,832,2,"Oil Filter, Air Filter"
M0335,T046,2023-05-19,Scheduled,842,1,"Oil Filter, Air Filter"
M0336,T046,2024-07-11,Scheduled,3548,0,"Tires, Wheel Bearings"
M0337,T046,2024-05-12,Scheduled,4398,3,"Exhaust System, Catalytic Converter"
M0338,T046,2023-09-16,Emergency,9106,4,"Battery, Alternator"
M0339,T046,2024-01-17,Emergency,16526,1,"Oil Filter, Air Filter"
M0340,T046,2023-09-09,Scheduled,2099,2,"Brake Pads, Brake Discs"
M0341,T046,2024-09-08,Emergency,5033,4,"Radiator, Water Pump"
M0342,T046,2024-03-29,Scheduled,753,2,"Battery, Alternator"
M0343,T047,2024-04-17,Scheduled,3130,0,"Spark Plugs, Fuel Injectors"
M0344,T047,2023-10-15,Scheduled,3231,1,"Transmission Fluid, Clutch"
M0345,T047,2024-03-06,Scheduled,4208,2,"Battery, Alternator"
M0346,T047,2023-01-06,Scheduled,1729,0,"Radiator, Water Pump"
M0347,T047,2024-04-12,Scheduled,1684,2,"Oil Filter, Air Filter"
M0348,T047,2024-11-18,Scheduled,877,0,"Brake Pads, Brake Discs"
M0349,T048,2024-12-19,Emergency,9499,3,"Spark Plugs, Fuel Injectors"
